Job Title,Job Link,Company,Location,Skills
QA Tester,https://wuzzuf.net/jobs/p/vnDx3HMFYdz8-QA-Tester-Cairo-Egypt,Confidential -,"New Cairo, Cairo, Egypt ",Full TimeOn-siteExperienced · 3 - 6 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · QA · test automation · Automation · Testing · Mobile
Software Tester,https://wuzzuf.net/jobs/p/O6fE5lk5SNgN-Software-Tester-Aloha-Dot-for-software-development-and-financial-services-Cairo-Egypt,Aloha Dot for software development and financial services -,"Cairo, Egypt ",Full TimeOn-siteExperienced · 3 - 5 Yrs of Exp · Banking · IT/Software Development · Engineering - Telecom/Technology · Agile · Trello · Testing · Software Testing · Software Engineering · QA · Engineering
Senior Flutter Developer,https://wuzzuf.net/jobs/p/W7HUnnVYfedR-Senior-Flutter-Developer-Sulfah-Cairo-Egypt,Sulfah -,"Maadi, Cairo, Egypt ",Full TimeOn-siteExperienced · 4 - 6 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Engineering · flutter · Information Technology (IT) · Computer Science · iOS · Android · Software Engineering · Software Development
Software Quality Control Engineer,https://wuzzuf.net/jobs/p/JAV2PcVDhGoy-Software-Quality-Control-Engineer-BI-Technologies-Cairo-Egypt,BI-Technologies -,"New Cairo, Cairo, Egypt ",Full TimeHybridExperienced · 1 - 6 Yrs of Exp · IT/Software Development · Quality · Engineering - Telecom/Technology · testing · QC · Tester · Automation · Manualtesting · Information Technology (IT) · Engineering
Technical Project Manager,https://wuzzuf.net/jobs/p/jvftq22dlfhu-technical-project-manager-business-mind-consulting-cairo-egypt,Business Mind Consulting -,"Maadi, Cairo, Egypt ",Full TimeOn-siteManager · 4+ Yrs of Exp · IT/Software Development · Project/Program Management · Communication · Agile · Computer Science · Information Technology (IT) · Project · Project Management · technical · Scrum
Senior Frontend Engineer (Angular),https://wuzzuf.net/jobs/p/SwOaFXdFM339-Senior-Frontend-Engineer-Angular-Tasaheel-Finance-Giza-Egypt,Tasaheel Finance  -,"Giza, Egypt ",Full TimeOn-siteExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Angular · CQRS · .Net · RxJs · Ngrx · DDD
Solution Architect,https://wuzzuf.net/jobs/p/DBAcoWRLbK6o-Solution-Architect-Youxel-Cairo-Egypt,Youxel -,"Maadi, Cairo, Egypt ",Full TimeHybridExperienced · 5 - 8 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Solution Architect · Design · Information Technology (IT) · Engineering · Computer Science · Software Development · Computer Engineering · solution
ERPNext Implementor,https://wuzzuf.net/jobs/p/Ayuas3q727Ko-ERPNext-Implementor-Alexandria-Egypt,Confidential -,"Alexandria, Egypt ",Full TimeHybridEntry Level · 1 - 2 Yrs of Exp · IT/Software Development · Excellent communication and interpersonal skills Professional and client-focused attitude Organized and capable of managing multiple client projects simultaneously Self-motivated with a strong sense of ownership and accountability Quick learner with an ey · ERP System · Accounting · frappe · Training · Odoo
Senior .NET Developer,https://wuzzuf.net/jobs/p/UlFUy8m7GMe5-Senior-NET-Developer-IKEN-Technology-Cairo-Egypt,IKEN Technology -,"Maadi, Cairo, Egypt ",Full TimeOn-siteExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · .Net · Azure · AWS · React · Angular · RESTful APIs · Software Development · Software Engineering
Remote Signage Designer & Structural Engineer Application,https://wuzzuf.net/internship/lNVjJNNUzBBb-Remote-Signage-Designer-Structural-Engineer-Application-NeonHub-Advertising-Dubai-United-Arab-Emirates,NeonHub Advertising -,"Dubai, United Arab Emirates ",InternshipRemoteStudent · Engineering - Construction/Civil/Architecture · Creative/Design/Art · Engineering - Other · AutoCAD · CAD · Architecture · Structural Engineering · Design · Revit · structural
HR Lead,https://wuzzuf.net/jobs/p/KH9J5sx7FqDd-HR-Lead-TD-Design-Cairo-Egypt,T&D Design -,"Cairo, Egypt ",Full TimeOn-siteExperienced · 8 - 10 Yrs of Exp · Human Resources · Recruitment · Organizational Development · HR operations · Human Resources (HR) · Odoo · HRIS · Talent acquisition · Performance Management · Personnel
Senior Web Developer Lead,https://wuzzuf.net/jobs/p/2pm53uImsVtZ-Senior-Web-Developer-Lead-RISEUP-Endemag-for-Administrative-Skills-Development-Cairo-Egypt,RISEUP (Endemag for Administrative Skills Development) -,"Nasr City, Cairo, Egypt ",Full TimeHybridManager · 8+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · JavaScript · HTML · CSS · Vuex (State Management) · Vue Router · Webpack · NPM / Yarn · RESTful APIs
